id_pedido,data_pedido,hora_pedido,cpf_cliente,telefone,segmento,produto,canal_venda,regiao,campanha,status_pedido,valor_plano,valor_fraude_estimado,qtd_sms_mes,media_historica_sms,variacao_sms_pct,uso_dados_gb,qtd_chargeback,score_credito,score_fraude,flag_fraude,tipo_fraude,em_blacklist,historico_fraudes_anteriores,regra_disparada,analista_responsavel,status_tratativa,data_fechamento,custo_operacional,mes_referencia,flag_novo_cliente,dias_desde_ativacao,qtd_linhas_ativas
PD-1000399,2026-01-02,23:19:08,598.811.457-88,(81) 990600615,Claro TV,CNPJ Avançado,TELEVENDAS B2C,PE,,APROVADO,149.9,320.16,12,9.3,29.0,10.38,4,546,0.948,1,Chargeback,0,0,CTR-74,Juliana S.,Em andamento,,113.94,2026-01,1,556,4
PD-1000400,2025-10-22,23:19:08,240.755.366-68,(51) 995470706,Claro Empresas,Fibra 500MB,APP,DF,CAMP-VIP,APROVADO,299.9,0.0,18,12.0,50.0,1.5,0,511,0.094,0,,0,0,,,,,0.0,2025-10,0,1262,2
PD-1000401,2025-05-14,23:19:08,467.046.226-81,(81) 991386477,Claro TV,Plano Família,APP,PR,,APROVADO,49.9,65.94,16,10.7,49.5,13.46,0,851,0.955,1,Fraude de Cancelamento,0,0,CTR-42,Ana L.,,2025-06-06,41.55,2025-05,0,9,2
PD-1000402,2025-12-25,23:19:08,283.999.219-21,(31) 994355775,Claro Empresas,Fibra 1GB,RETENÇÃO,DF,REC-100 - FPD,APROVADO,149.9,0.0,0,3.0,-100.0,11.56,0,616,0.317,0,,0,0,,Pedro R.,,,0.0,2025-12,0,403,5
PD-1000403,2025-10-15,23:19:08,282.270.093-45,(62) 996960470,Claro Residencial,Fibra 500MB,LOJA FÍSICA,RJ,,APROVADO,149.9,0.0,20,12.8,56.2,4.12,0,714,0.265,0,,0,0,,Ana L.,,,0.0,2025-10,0,943,3
PD-1000404,2026-01-21,23:19:08,313.215.513-05,(61) 998061942,Claro TV,Controle,TELEVENDAS B2C,SP-Capital,,APROVADO,49.9,0.0,16,2.1,661.9,17.08,0,767,0.205,0,,0,0,,Juliana S.,,,0.0,2026-01,0,1162,8
PD-1000405,2026-02-06,23:19:08,112.545.738-75,(81) 991637842,NET,TV HD,E-COMMERCE,PE,,APROVADO,49.9,0.0,7,4.1,70.7,5.15,0,869,0.312,0,,0,0,,Carlos M.,,,0.0,2026-02,1,1609,1
PD-1000406,2025-10-17,23:19:08,970.629.620-15,(41) 993187406,Claro Residencial,Combo Família,APP,BA,,PENDENTE,149.9,505.15,2,4.2,-52.4,4.7,0,856,0.662,0,,0,0,CTR-42,Ana L.,Fechada,,29.07,2025-10,1,1154,5
PD-1000407,2025-04-26,23:19:08,112.545.738-75,(81) 991637842,Claro Móvel,Fibra 1GB,RETENÇÃO,PE,REC-100 - FPD,APROVADO,299.9,0.0,8,2.3,247.8,18.27,0,869,0.023,0,,0,0,,Carlos M.,,,0.0,2025-04,1,639,3
PD-1000408,2025-06-11,23:19:08,117.758.917-83,(62) 990727544,Claro Empresas,TV Plus,RETENÇÃO,CE,,PENDENTE,49.9,0.0,12,15.0,-20.0,18.4,0,654,0.325,0,,0,0,,Ana L.,,,0.0,2025-06,0,250,4
PD-1000409,2025-12-07,23:19:08,280.156.193-18,(41) 998159855,Claro TV,Fibra 200MB,APP,RS,,CANCELADO,499.9,3609.39,5,7.0,-28.6,79.62,0,674,0.989,1,Fraude de Alto Uso (Dados),0,0,CTR-53,Carlos M.,Em andamento,,82.61,2025-12,1,1613,8
PD-1000410,2026-03-20,23:19:08,037.613.791-80,(61) 995309530,Claro Móvel,TV HD,E-COMMERCE,RJ,,CANCELADO,29.9,357.6,9,14.0,-35.7,152.28,0,698,0.916,1,Fraude de Alto Uso (Dados),0,0,CTR-74,Carlos M.,Em andamento,,108.94,2026-03,0,181,5
PD-1000411,2025-05-26,23:19:08,368.876.767-72,(21) 999485801,Claro Residencial,TV Plus,RETENÇÃO,SP-Capital,,CANCELADO,49.9,0.0,4,14.1,-71.6,18.26,0,889,0.112,0,,0,0,,Juliana S.,,,0.0,2025-05,0,1045,6
PD-1000412,2025-10-06,23:19:08,863.210.613-39,(51) 993596069,Claro TV,Fibra 1GB,TELEVENDAS B2C,DF,CAMP-VIP,APROVADO,149.9,0.0,2,9.9,-79.8,1.71,0,655,0.091,0,,0,0,,Carlos M.,,,0.0,2025-10,0,587,3
PD-1000413,2026-02-17,23:19:08,926.137.150-41,(71) 996267268,Claro Residencial,Pós-Pago,LOJA FÍSICA,DF,,CANCELADO,199.9,312.92,7,5.7,22.8,2.57,0,554,0.676,1,Fraude de Subscrição,0,0,CTR-61,Ana L.,,2026-03-07,58.12,2026-02,0,343,6
PD-1000414,2026-02-24,23:19:08,864.168.622-78,(41) 998184951,NET,CNPJ Avançado,LOJA FÍSICA,BA,,PENDENTE,49.9,0.0,20,7.8,156.4,7.9,0,833,0.011,0,,0,0,,,,,0.0,2026-02,0,1257,5
PD-1000415,2025-12-20,23:19:08,268.943.012-04,(81) 991108790,Claro TV,Fibra 1GB,RETENÇÃO,MG,,APROVADO,199.9,0.0,19,1.8,955.6,5.2,0,739,0.182,0,,0,0,,Pedro R.,,,0.0,2025-12,0,713,7
PD-1000416,2025-09-29,23:19:08,030.937.618-47,(85) 997538125,Claro TV,TV Plus,LOJA FÍSICA,SP-Capital,,APROVADO,499.9,0.0,5,11.1,-55.0,9.52,0,518,0.3,0,,0,0,,Pedro R.,,,0.0,2025-09,0,54,5
PD-1000417,2025-03-30,23:19:08,901.495.427-70,(81) 990148825,NET,Controle,E-COMMERCE,PE,,APROVADO,299.9,3140.73,7,12.5,-44.0,1.1,0,518,0.688,1,Clonagem de SIM,0,0,CTR-53,Juliana S.,Aberta,,10.65,2025-03,0,1665,7
PD-1000418,2025-12-28,23:19:08,343.240.642-42,(62) 995293899,Claro Empresas,Controle,LOJA FÍSICA,BA,REC-100 - FPD,APROVADO,29.9,0.0,3,8.5,-64.7,10.23,0,615,0.283,0,,0,0,,Carlos M.,,,0.0,2025-12,0,1624,3
PD-1000419,2025-07-21,23:19:08,358.112.880-13,(41) 997117053,Claro Residencial,TV Plus,TELEVENDAS B2C,SP-Interior,,CANCELADO,79.9,542.21,0,7.6,-100.0,11.18,0,605,0.703,1,Fraude Corporativa,0,0,CTR-53,Pedro R.,Aberta,2025-07-24,17.41,2025-07,0,549,8
PD-1000420,2025-07-20,23:19:08,879.374.160-89,(85) 999587934,Claro TV,Pós-Pago,E-COMMERCE,DF,,APROVADO,199.9,0.0,0,14.2,-100.0,16.69,0,575,0.128,0,,0,0,,Juliana S.,,,0.0,2025-07,0,338,3
PD-1000421,2025-11-04,23:19:08,317.810.801-32,(71) 998147706,Claro TV,Pós-Pago,LOJA FÍSICA,PE,,APROVADO,99.9,0.0,1,7.5,-86.7,12.38,0,609,0.199,0,,0,0,,Carlos M.,,,0.0,2025-11,0,49,5
PD-1000422,2026-02-07,23:19:08,220.863.536-54,(21) 999588782,Claro TV,CNPJ Avançado,LOJA FÍSICA,PR,,APROVADO,49.9,560.29,500,11.7,4173.5,1.55,0,561,0.859,1,Fraude de Alto Uso (SMS),0,0,CTR-42,Juliana S.,Fechada,,129.47,2026-02,0,359,2
PD-1000423,2026-03-06,23:19:08,948.532.089-53,(31) 996430237,Claro Empresas,Combo Família,TELEVENDAS B2C,MG,,CANCELADO,29.9,251.48,15,8.8,70.5,19.65,2,777,0.907,1,Chargeback,0,0,CTR-12,Ana L.,Aberta,2026-03-28,127.91,2026-03,0,911,5
PD-1000424,2025-10-18,23:19:08,477.866.032-42,(11) 994335179,Claro Empresas,Combo Família,E-COMMERCE,RS,REC-100 - FPD,APROVADO,199.9,0.0,10,13.8,-27.5,19.2,0,837,0.123,0,,0,0,,,,,0.0,2025-10,0,383,1
PD-1000425,2026-01-28,23:19:08,498.830.597-36,(51) 993115755,NET,Combo Família,E-COMMERCE,RS,REC-100 - FPD,APROVADO,299.9,0.0,4,12.2,-67.2,10.88,0,756,0.132,0,,0,0,,Juliana S.,,,0.0,2026-01,0,942,4
PD-1000426,2025-11-12,23:19:08,778.485.880-06,(21) 996436241,Claro TV,Fibra 500MB,RETENÇÃO,PE,,APROVADO,99.9,0.0,10,6.8,47.1,3.73,0,661,0.038,0,,0,0,,Pedro R.,,,0.0,2025-11,0,1131,1
PD-1000427,2025-09-25,23:19:08,358.112.880-13,(41) 997117053,Claro Residencial,CNPJ Básico,E-COMMERCE,SP-Interior,CAMP-VIP,APROVADO,299.9,0.0,12,3.3,263.6,12.7,0,605,0.076,0,,0,0,,Ana L.,,,0.0,2025-09,0,1795,1
PD-1000428,2025-08-17,23:19:08,424.462.632-51,(51) 995192421,Claro Residencial,Plano Família,TELEVENDAS B2C,CE,,APROVADO,149.9,0.0,9,11.7,-23.1,10.73,0,854,0.069,0,,0,0,,Pedro R.,,,0.0,2025-08,1,678,6
PD-1000429,2025-10-15,23:19:08,646.528.092-42,(85) 998268480,Claro Empresas,Pós-Pago,LOJA FÍSICA,PR,,APROVADO,29.9,0.0,9,9.2,-2.2,17.07,0,739,0.117,0,,0,0,,,,,0.0,2025-10,0,31,3
PD-1000430,2025-06-18,23:19:08,919.392.845-67,(62) 997459558,Claro TV,TV HD,E-COMMERCE,RJ,REC-200 - Automático,BLOQUEADO,149.9,741.59,4,5.7,-29.8,12.79,2,624,0.725,1,Chargeback,0,0,CTR-53,Juliana S.,Em andamento,2025-06-19,183.21,2025-06,1,892,7
PD-1000431,2026-03-14,23:19:08,082.771.812-98,(31) 996594565,Claro Empresas,Combo Família,E-COMMERCE,BA,CAMP-VIP,APROVADO,79.9,0.0,9,9.4,-4.3,19.07,0,665,0.044,0,,0,0,,,,,0.0,2026-03,0,363,2
PD-1000432,2026-03-11,23:19:08,307.240.787-54,(21) 999232573,Claro Residencial,Combo Família,TELEVENDAS B2C,SP-Interior,,APROVADO,29.9,0.0,6,14.9,-59.7,10.02,0,681,0.14,0,,0,0,,Pedro R.,,,0.0,2026-03,0,442,2
PD-1000433,2026-01-20,23:19:08,151.718.275-48,(11) 991379891,Claro Residencial,TV Plus,E-COMMERCE,PR,,APROVADO,299.9,0.0,11,3.1,254.8,1.14,0,752,0.275,0,,0,0,,Carlos M.,,,0.0,2026-01,0,1317,4
PD-1000434,2025-10-03,23:19:08,914.560.833-18,(21) 996071696,Claro Empresas,Plano Família,RETENÇÃO,CE,,APROVADO,79.9,0.0,1,10.0,-90.0,1.04,0,759,0.039,0,,0,0,,Juliana S.,,,0.0,2025-10,1,300,3
PD-1000435,2025-10-04,23:19:08,721.970.546-69,(31) 997395861,Claro TV,CNPJ Avançado,RETENÇÃO,PR,,APROVADO,79.9,279.33,19,11.2,69.6,6.87,0,762,0.77,1,Fraude de Identidade,0,0,CTR-61,Ana L.,Em andamento,,25.74,2025-10,0,1286,8
PD-1000436,2025-12-24,23:19:08,602.293.946-94,(41) 994573719,Claro Móvel,Fibra 200MB,LOJA FÍSICA,BA,,APROVADO,49.9,0.0,9,7.2,25.0,16.92,0,853,0.16,0,,0,0,,Pedro R.,,,0.0,2025-12,1,1259,2
PD-1000437,2026-03-04,23:19:08,621.182.339-84,(61) 994484964,NET,TV HD,RETENÇÃO,BA,,APROVADO,299.9,520.58,11,7.6,44.7,4.36,0,295,0.766,1,Fraude de Cancelamento,1,0,CTR-53,Carlos M.,Fechada,2026-03-06,87.29,2026-03,1,1478,1
PD-1000438,2025-06-01,23:19:08,275.539.423-73,(41) 994061034,Claro Residencial,Pós-Pago,E-COMMERCE,RS,REC-200 - Automático,APROVADO,499.9,0.0,14,9.8,42.9,1.46,0,605,0.223,0,,0,0,,Ana L.,,,0.0,2025-06,1,1401,8
PD-1000439,2025-12-27,23:19:08,513.534.655-49,(51) 997780612,Claro TV,Combo Família,TELEVENDAS B2C,SP-Interior,PROMO-500 - Móvel,BLOQUEADO,199.9,1110.43,8,10.1,-20.8,158.07,0,740,0.779,1,Fraude de Alto Uso (Dados),0,0,CTR-74,Ana L.,Fechada,2025-12-29,15.49,2025-12,0,929,6
PD-1000440,2026-01-11,23:19:08,439.735.971-07,(31) 995423167,Claro Empresas,Combo Família,TELEVENDAS B2C,BA,,APROVADO,299.9,1553.45,455,10.2,4360.8,0.75,0,254,0.72,1,Fraude de Alto Uso (SMS),1,5,CTR-74,,Fechada,2026-02-02,115.21,2026-01,0,1018,7
PD-1000441,2026-01-11,23:19:08,827.235.909-60,(61) 997216043,Claro Móvel,Fibra 500MB,TELEVENDAS B2C,PE,,CANCELADO,29.9,0.0,3,4.8,-37.5,2.87,0,609,0.057,0,,0,0,,Ana L.,,,0.0,2026-01,0,805,5
PD-1000442,2025-11-01,23:19:08,082.771.812-98,(31) 996594565,NET,Plano Família,LOJA FÍSICA,BA,,BLOQUEADO,99.9,637.27,5,4.1,22.0,191.46,0,665,0.816,1,Fraude de Alto Uso (Dados),0,0,CTR-30,Juliana S.,,,59.43,2025-11,0,602,7
PD-1000443,2025-06-18,23:19:08,450.615.939-98,(31) 994774942,Claro TV,Combo Família,LOJA FÍSICA,PR,,APROVADO,199.9,0.0,0,9.8,-100.0,6.83,0,666,0.292,0,,0,0,,Ana L.,,,0.0,2025-06,0,858,6
PD-1000444,2025-12-24,23:19:08,783.609.149-85,(21) 997389348,Claro TV,Pós-Pago,TELEVENDAS B2C,RJ,REC-200 - Automático,APROVADO,299.9,0.0,13,11.5,13.0,15.55,0,632,0.028,0,,0,0,,Pedro R.,,,0.0,2025-12,0,1258,8
PD-1000445,2025-07-14,23:19:08,585.485.965-59,(51) 992982571,Claro TV,CNPJ Básico,LOJA FÍSICA,CE,REC-200 - Automático,PENDENTE,199.9,0.0,18,7.1,153.5,3.09,0,565,0.035,0,,0,0,,Pedro R.,,,0.0,2025-07,0,946,1
PD-1000446,2025-09-18,23:19:08,022.599.996-63,(71) 991068863,NET,CNPJ Avançado,APP,CE,REC-200 - Automático,APROVADO,29.9,0.0,11,8.3,32.5,3.21,0,697,0.308,0,,0,0,,Carlos M.,,,0.0,2025-09,0,1138,3
PD-1000447,2025-07-02,23:19:08,124.815.698-57,(11) 990874073,NET,CNPJ Básico,TELEVENDAS B2C,RJ,,APROVADO,299.9,0.0,8,11.0,-27.3,7.02,0,822,0.325,0,,0,0,,Juliana S.,,,0.0,2025-07,1,404,7
PD-1000448,2026-03-04,23:19:08,043.103.856-95,(61) 998156216,Claro Residencial,TV Plus,RETENÇÃO,DF,,PENDENTE,29.9,323.06,419,14.3,2830.1,0.15,0,840,0.673,1,Fraude de Alto Uso (SMS),0,0,CTR-53,Pedro R.,Em andamento,2026-03-13,156.91,2026-03,0,417,4
PD-1000449,2025-10-28,23:19:08,597.010.822-07,(85) 991947249,NET,CNPJ Básico,APP,SP-Interior,,APROVADO,299.9,0.0,16,14.7,8.8,4.16,0,620,0.332,0,,0,0,,Carlos M.,,,0.0,2025-10,0,781,1
PD-1000450,2026-02-16,23:19:08,476.570.412-00,(62) 992912192,Claro TV,Combo Família,LOJA FÍSICA,CE,REC-100 - FPD,PENDENTE,199.9,0.0,19,8.9,113.5,3.53,0,582,0.308,0,,0,0,,Carlos M.,,,0.0,2026-02,0,299,5
PD-1000451,2025-05-12,23:19:08,813.317.087-60,(21) 995031885,Claro Empresas,Plano Família,LOJA FÍSICA,BA,,CANCELADO,199.9,1930.62,10,2.5,300.0,6.54,0,747,0.676,1,Fraude de Subscrição,0,0,CTR-61,Carlos M.,Aberta,2025-05-29,149.41,2025-05,0,1552,1
PD-1000452,2025-08-03,23:19:08,775.153.663-77,(85) 990505062,Claro Móvel,Controle,LOJA FÍSICA,PR,,CANCELADO,49.9,427.05,12,8.1,48.1,8.31,7,571,0.672,1,Chargeback,0,0,CTR-61,Carlos M.,Fechada,,51.28,2025-08,0,655,6
PD-1000453,2025-04-20,23:19:08,205.464.754-89,(61) 995169762,Claro Residencial,Controle,APP,PE,,APROVADO,149.9,0.0,12,5.4,122.2,10.81,0,761,0.045,0,,0,0,,Juliana S.,,,0.0,2025-04,0,74,2
PD-1000454,2025-06-13,23:19:08,506.431.713-90,(11) 995595355,NET,CNPJ Básico,E-COMMERCE,MG,CAMP-VIP,APROVADO,49.9,0.0,17,3.9,335.9,13.27,0,564,0.216,0,,0,0,,Juliana S.,,,0.0,2025-06,0,1060,7
PD-1000455,2025-05-08,23:19:08,040.541.152-62,(21) 999177913,Claro Empresas,Combo Família,RETENÇÃO,SP-Interior,REC-100 - FPD,APROVADO,99.9,0.0,11,11.0,0.0,12.0,0,673,0.141,0,,0,0,,Juliana S.,,,0.0,2025-05,0,1474,6
PD-1000456,2025-09-12,23:19:08,468.071.545-16,(85) 990019311,Claro Empresas,Plano Família,LOJA FÍSICA,CE,REC-200 - Automático,CANCELADO,499.9,4379.86,2,6.9,-71.0,12.17,0,736,0.869,1,Fraude de Identidade,0,0,CTR-28,,Em andamento,2025-09-25,86.03,2025-09,1,959,8
PD-1000457,2026-01-06,23:19:08,025.213.109-62,(31) 997881344,Claro Móvel,Pós-Pago,LOJA FÍSICA,RJ,,APROVADO,99.9,0.0,13,7.8,66.7,9.13,0,883,0.101,0,,0,0,,Ana L.,,,0.0,2026-01,1,1616,6
PD-1000458,2025-06-14,23:19:08,106.181.753-44,(41) 990571126,NET,Pré-Pago,RETENÇÃO,SP-Capital,REC-200 - Automático,PENDENTE,199.9,1983.22,20,5.4,270.4,5.22,0,223,0.851,1,Fraude de Cancelamento,1,4,CTR-74,,Fechada,,91.03,2025-06,0,10,8
PD-1000459,2025-03-29,23:19:08,299.629.145-04,(71) 991456225,Claro Empresas,Combo Família,RETENÇÃO,PE,,PENDENTE,79.9,914.97,7,11.0,-36.4,11.56,0,621,0.867,1,Fraude de Subscrição,0,0,CTR-61,Carlos M.,Aberta,,105.24,2025-03,1,263,8
PD-1000460,2025-10-11,23:19:08,821.781.923-65,(41) 994403489,Claro Residencial,Controle,APP,BA,REC-200 - Automático,APROVADO,149.9,382.09,4,12.6,-68.3,2.39,0,530,0.959,1,Conta Mula,0,0,CTR-61,Carlos M.,Fechada,,101.85,2025-10,0,1357,8
PD-1000461,2025-05-13,23:19:08,306.090.691-30,(62) 999153356,Claro Empresas,CNPJ Avançado,RETENÇÃO,SP-Interior,,APROVADO,199.9,0.0,18,2.5,620.0,12.99,0,510,0.24,0,,0,0,,Juliana S.,,,0.0,2025-05,0,933,7
PD-1000462,2025-04-15,23:19:08,803.396.852-70,(21) 998248388,Claro Empresas,Combo Família,RETENÇÃO,SP-Interior,,APROVADO,199.9,0.0,9,1.2,650.0,15.8,0,598,0.09,0,,0,0,,Pedro R.,,,0.0,2025-04,0,1382,7
PD-1000463,2025-07-04,23:19:08,591.679.541-07,(31) 997823508,NET,Combo Família,TELEVENDAS B2C,RJ,,BLOQUEADO,99.9,0.0,2,11.6,-82.8,12.01,0,767,0.072,0,,0,0,,Juliana S.,,,0.0,2025-07,1,1420,5
PD-1000464,2026-03-04,23:19:08,231.211.063-30,(21) 996491120,Claro Residencial,Fibra 1GB,E-COMMERCE,PR,CAMP-VIP,PENDENTE,199.9,281.57,20,2.2,809.1,12.15,0,335,0.818,1,Fraude de Identidade,1,5,CTR-61,Ana L.,,2026-03-21,16.21,2026-03,0,1148,4
PD-1000465,2025-11-20,23:19:08,899.756.341-08,(61) 996543005,Claro TV,Combo Família,RETENÇÃO,RJ,,APROVADO,99.9,0.0,6,5.0,20.0,5.19,0,766,0.322,0,,0,0,,,,,0.0,2025-11,1,581,7
PD-1000466,2026-01-11,23:19:08,362.718.749-60,(41) 993643644,Claro Móvel,Fibra 200MB,RETENÇÃO,PR,CAMP-VIP,APROVADO,99.9,992.55,20,5.0,300.0,8.36,0,782,0.964,1,Fraude Corporativa,0,0,CTR-61,Ana L.,,2026-01-16,157.95,2026-01,1,805,6
PD-1000467,2026-01-23,23:19:08,737.158.698-86,(51) 999802990,Claro Residencial,CNPJ Avançado,RETENÇÃO,PE,REC-100 - FPD,APROVADO,79.9,0.0,1,10.6,-90.6,16.41,0,825,0.109,0,,0,0,,Carlos M.,,,0.0,2026-01,0,1529,7
PD-1000468,2025-09-05,23:19:08,812.236.231-66,(61) 999103504,Claro Móvel,Combo Família,E-COMMERCE,PE,,APROVADO,49.9,0.0,6,7.9,-24.1,16.65,0,712,0.125,0,,0,0,,Carlos M.,,,0.0,2025-09,0,1426,4
PD-1000469,2025-09-05,23:19:08,788.977.828-06,(51) 998299539,NET,CNPJ Básico,TELEVENDAS B2C,DF,REC-100 - FPD,APROVADO,29.9,0.0,6,2.3,160.9,16.42,0,693,0.252,0,,0,0,,,,,0.0,2025-09,0,1206,4
PD-1000470,2026-01-03,23:19:08,897.028.385-78,(71) 995263895,NET,TV Plus,E-COMMERCE,RJ,,APROVADO,29.9,0.0,9,8.4,7.1,17.22,0,735,0.285,0,,0,0,,Ana L.,,,0.0,2026-01,0,571,2
PD-1000471,2025-12-29,23:19:08,025.213.109-62,(31) 997881344,Claro Empresas,Pré-Pago,APP,RJ,,APROVADO,99.9,0.0,7,4.7,48.9,1.94,0,883,0.221,0,,0,0,,Carlos M.,,,0.0,2025-12,1,856,7
PD-1000472,2025-12-24,23:19:08,310.967.899-40,(61) 993703113,Claro Móvel,TV Plus,E-COMMERCE,DF,,BLOQUEADO,149.9,1435.73,8,12.9,-38.0,60.02,0,867,0.879,1,Fraude de Alto Uso (Dados),0,0,CTR-74,Juliana S.,Aberta,,183.16,2025-12,1,1697,2
PD-1000473,2025-09-20,23:19:08,047.113.826-75,(85) 997031780,Claro Empresas,Plano Família,TELEVENDAS B2C,DF,,APROVADO,149.9,1763.73,6,9.7,-38.1,12.49,0,386,0.797,0,,1,5,CTR-12,Pedro R.,Em andamento,,125.22,2025-09,0,836,6
PD-1000474,2025-05-18,23:19:08,385.977.034-82,(51) 997350368,NET,TV HD,RETENÇÃO,PE,,APROVADO,79.9,0.0,16,6.6,142.4,10.41,0,562,0.305,0,,0,0,,Ana L.,,,0.0,2025-05,0,484,7
PD-1000475,2025-12-20,23:19:08,811.872.333-51,(11) 994302626,Claro TV,Controle,E-COMMERCE,SP-Capital,CAMP-VIP,APROVADO,79.9,0.0,20,13.9,43.9,4.07,0,800,0.145,0,,0,0,,Juliana S.,,,0.0,2025-12,0,1702,1
PD-1000476,2026-03-19,23:19:08,776.029.914-06,(85) 998951249,Claro Residencial,TV HD,RETENÇÃO,RS,PROMO-500 - Móvel,CANCELADO,29.9,182.44,10,8.7,14.9,4.21,0,534,0.986,1,Fraude de Cancelamento,0,0,CTR-53,,Aberta,2026-03-30,128.27,2026-03,0,312,7
PD-1000477,2026-01-28,23:19:08,189.239.231-26,(11) 994594635,NET,Fibra 1GB,LOJA FÍSICA,MG,,BLOQUEADO,199.9,264.39,11,8.5,29.4,19.23,1,574,0.96,1,Chargeback,0,0,CTR-30,Carlos M.,,2026-02-22,83.63,2026-01,0,1194,4
PD-1000478,2025-04-30,23:19:08,527.789.561-33,(81) 991247151,Claro Residencial,Combo Família,LOJA FÍSICA,CE,CAMP-VIP,CANCELADO,49.9,0.0,2,7.2,-72.2,11.15,0,651,0.129,0,,0,0,,Carlos M.,,,0.0,2025-04,1,1335,6
PD-1000479,2025-03-28,23:19:08,561.497.840-36,(62) 990919088,Claro Empresas,Pré-Pago,LOJA FÍSICA,SP-Capital,,CANCELADO,499.9,5957.11,8,7.9,1.3,175.29,0,604,0.828,1,Fraude de Alto Uso (Dados),0,0,CTR-74,Ana L.,Em andamento,2025-04-01,148.91,2025-03,1,1298,1
PD-1000480,2026-02-18,23:19:08,849.912.165-58,(61) 992420404,Claro Empresas,Fibra 1GB,E-COMMERCE,MG,REC-200 - Automático,APROVADO,199.9,0.0,0,10.0,-100.0,8.63,0,808,0.068,0,,0,0,,Ana L.,,,0.0,2026-02,0,432,2
PD-1000481,2025-04-03,23:19:08,404.288.605-05,(41) 998260690,NET,Pré-Pago,E-COMMERCE,BA,,CANCELADO,79.9,875.04,0,12.4,-100.0,18.87,0,311,0.867,1,Conta Mula,1,3,CTR-30,,,2025-04-19,189.59,2025-04,0,591,1
PD-1000482,2025-12-04,23:19:08,812.786.866-94,(41) 993088120,Claro Móvel,CNPJ Básico,LOJA FÍSICA,SP-Capital,,APROVADO,499.9,0.0,19,6.7,183.6,7.98,0,581,0.332,0,,0,0,,,,,0.0,2025-12,0,1616,4
PD-1000483,2026-02-19,23:19:08,120.957.907-37,(21) 990757936,Claro TV,Fibra 200MB,LOJA FÍSICA,SP-Capital,PROMO-500 - Móvel,BLOQUEADO,299.9,1467.5,8,7.0,14.3,8.24,0,790,0.896,1,Fraude de Identidade,0,0,CTR-53,Ana L.,Fechada,,172.67,2026-02,0,724,7
PD-1000484,2025-10-25,23:19:08,450.615.939-98,(31) 994774942,NET,Plano Família,RETENÇÃO,PR,,APROVADO,499.9,0.0,16,3.2,400.0,6.95,0,666,0.292,0,,0,0,,Carlos M.,,,0.0,2025-10,0,1248,5
PD-1000485,2025-06-15,23:19:08,577.242.954-31,(71) 996167297,NET,Combo Família,APP,RJ,,PENDENTE,29.9,147.0,13,10.7,21.5,19.94,0,701,0.752,1,Clonagem de SIM,0,0,CTR-30,Carlos M.,Fechada,,16.06,2025-06,1,552,7
PD-1000486,2025-06-18,23:19:08,715.879.647-40,(85) 990698478,Claro Móvel,Controle,RETENÇÃO,MG,,PENDENTE,499.9,1749.67,3,10.8,-72.2,135.07,0,545,0.962,1,Fraude de Alto Uso (Dados),0,0,CTR-74,,Fechada,2025-07-14,185.2,2025-06,0,1405,1
PD-1000487,2026-01-07,23:19:08,158.673.425-75,(51) 990353566,Claro Móvel,Pós-Pago,RETENÇÃO,DF,,CANCELADO,29.9,128.54,3,10.5,-71.4,7.73,0,517,0.988,1,Fraude Corporativa,0,0,CTR-53,Carlos M.,Fechada,2026-01-15,178.1,2026-01,1,951,5
PD-1000488,2025-07-18,23:19:08,842.711.477-32,(11) 991671067,NET,Combo Família,LOJA FÍSICA,SP-Capital,,APROVADO,79.9,432.43,484,1.4,34471.4,0.77,0,534,0.688,1,Fraude de Alto Uso (SMS),0,0,CTR-30,Ana L.,,,82.26,2025-07,1,1368,6
PD-1000489,2026-03-15,23:19:08,528.953.926-44,(31) 992981450,Claro Móvel,TV Plus,LOJA FÍSICA,SP-Capital,CAMP-VIP,APROVADO,149.9,0.0,17,5.9,188.1,14.58,0,859,0.19,0,,0,0,,Carlos M.,,,0.0,2026-03,0,1688,2
PD-1000490,2025-07-22,23:19:08,911.650.200-02,(51) 996249573,Claro TV,Pós-Pago,E-COMMERCE,MG,,APROVADO,99.9,0.0,9,6.0,50.0,7.54,0,800,0.317,0,,0,0,,Juliana S.,,,0.0,2025-07,1,382,2
PD-1000491,2025-11-14,23:19:08,602.529.867-07,(71) 997087653,Claro Residencial,Plano Família,RETENÇÃO,SP-Capital,,PENDENTE,199.9,2318.15,411,12.6,3161.9,1.37,0,655,0.989,1,Fraude de Alto Uso (SMS),0,0,CTR-61,Ana L.,,2025-11-18,43.02,2025-11,0,1053,5
PD-1000492,2025-05-25,23:19:08,817.934.065-27,(81) 996018858,Claro Empresas,CNPJ Básico,RETENÇÃO,CE,,APROVADO,99.9,0.0,19,6.9,175.4,18.73,0,656,0.015,0,,0,0,,Ana L.,,,0.0,2025-05,1,1729,4
PD-1000493,2025-05-02,23:19:08,678.498.436-24,(21) 998749335,NET,CNPJ Avançado,RETENÇÃO,BA,,APROVADO,79.9,886.45,10,12.5,-20.0,14.7,0,390,0.764,1,Clonagem de SIM,1,1,CTR-61,Juliana S.,,2025-05-28,28.99,2025-05,1,1558,4
